<new sheet>
sheet_name: 2.06(Base period 1997-100)
,2.06 Trade Indices - Monthly (2006 -2010),,,,,,,,,,,,,, 
,            August,364.26551931406027,638.951480811454,476.2578866946665,632.543526165781,985.8484134259953,765.3856964881426,537.2525813776067,376.360210728293,251.11379675668428,428.17594857967947,347.48721395894574,532.4560795236085,634.811910327503,454.8296797174192
,            September,370.8598985640581,599.9538270688969,464.2639126094708,1301.4839533350234,899.0774655533237,543.4772997001824,487.2274734006006,214.2852045802457,209.67753378882944,438.7646422119497,326.2334403636023,440.0418781565139,579.5366017432564,416.9820402377603
,            October,329.49725652720514,820.935105936554,529.8616576628236,694.8648632887442,1321.3827340754003,497.86556586405754,606.2012492051687,287.9246325582849,318.7139886854635,502.9980429395673,312.0657469689397,619.7604773707251,614.5488718129958,448.4816976605912
,            November,335.10488452567773,649.7382683730573,463.3842378714197,724.5222852512687,1081.3366258049587,493.7566760211329,554.699046234424,257.2340104339213,262.12119317131754,436.4331097907619,376.2935273852578,517.903722489485,560.1769604668623,453.308648265849
,            December,484.2870265835277,710.5968261266765,576.5559218488876,763.2792514970395,1926.1730033809001,997.3406451479806,671.6314643814989,364.3132150865751,319.242415234657,574.0045946035489,436.7215988799039,769.5651208991762,611.9589847357023,551.5964174225716

,,,,,,,,,,,,,  Source : Central Bank of Sri Lanka,,


,"(a) A  series with a wide coverage and 1997 as the base year.In order to accommodate the variability arising from a monthly frequency, in computing the monthly trade indices, ",,,,,,,,,,,,,,
,      first the volume index is computed as a Laspeyres index and then the unit value index is derived as the ratio between the value index and the volume index. This methodology   ,,,,,,,,,,,,,,
,      avoids the subjective imputation of prices that would be required in deriving  a price index first when certain items are not exported  or imported in a particular month.,,,,,,,,,,,,,,
,(b) Revised ,,,,,,,,,,,,,,
,(c) Provisional.,,,,,,,,,,,,,,


,Table 2.6.5 : Trade Indices (Imports) - Unit Value (a),,,,,,,,,,,,,,

,,,,,,,,,,,,,,Base Period 1997=100,
,Period,Imports ,,,,,,,,,,,,,
,,Consumer Goods,,,Intermediate Goods,,,,,,,Investment Goods,,,
,,Food & ,Other Cons.,Total ,Crude Oil,Refined Petro. ,Fertiliser,Chemicals,Wheat,Textiles ,Total ,Machinery & ,Transport ,Building ,Total 
,, Drink,Goods,,,Products,,,,,,Equipment ,Equipment , Materials,

,2006    January,154.7,129.2,138.6,490.7,198.4,289,239.9,163.4,155.5,201.9,118.8,411.5,173.3,152.8
,            February,173.7,145.1,155.5,547,551.5,273.6,220.9,150.3,140.3,214.8,89.2,349.4,147.3,120.8
,            March,191,124.7,149.1,545.2,276.9,284.6,201.2,153.6,137.8,219.5,120.8,283.2,151.9,144.9
,            April,172.6,162.8,166.8,579.4,305,278.2,261.2,149.5,142,219.9,99.3,263.3,221.4,136.4
,            May,177.1,169,172.5,624.8,565.9,295,243.5,155.3,158.7,247.1,104.3,278.5,240.8,158.8
,            June,163.9,158.5,160.6,594.2,569,248.1,230.7,164,140.2,238.2,86.8,279.3,262.1,145.3
,            July,168,122.5,137.1,641.4,376.3,253.1,212.1,168.5,154.8,235.6,121.3,266.9,227.4,159.2
,            August,214.7,159.8,179,644.8,689.4,273.8,202.8,166.2,159.1,241.1,121.7,297.9,242.1,191.9
,            September,223.6,153.1,175.5,596.7,699.3,316.6,271.5,167.6,141.2,239.8,129.8,332.2,227.2,194.4
,            October,211.5,178.6,191.8,538.9,530.8,263.4,276.3,0,134.6,230.2,67.8,278.9,135.4,117.5
,            November,218.3,121.9,151.4,511.2,791.3,232.9,302.4,190.1,135,224,133.3,286.6,200.4,174.5
,            December,223.2,186.3,200.2,553.2,587.4,280.1,207.2,201.9,169.6,227.7,132.4,290.8,106.3,136

,2007    January,209,176.4,190.6,0,300.5,258.9,226.1,211.2,164.3,217.8,137.3,497.7,197.4,190.1
,            February,188.1,144,159.3,521.7,533.8,205.8,239.7,213.9,155.3,256.4,84.3,272.7,162.8,120.1
,            March,200.1,153.2,172.8,553.7,354,262,244.9,241.4,153.2,239.5,145.1,313.3,191.4,174.5
,            April,200.4,177.7,187,616.9,460.2,376.3,227.4,245.6,156.7,281,86.4,205.8,239.9,130.3
,            May,203.4,185.6,193.8,619.7,578.7,365.3,263.2,252.7,177.9,278.6,115,293.3,263.9,171.6
,            June,183.1,171,176.6,646.5,865.3,321.9,274.3,253.9,153.3,256.3,109.1,297.9,289.1,176.9
,            July,197.8,135.1,157.7,680.7,214.7,351.2,243.3,0,166.4,223.8,130.4,270.2,258.2,180.8
,            August,228,174.4,195.5,690.6,567.1,358.5,228.4,275.2,176,273.6,124.1,317.6,269,180.7
,            September,236.1,175.4,197.4,703.6,791.6,473.9,305.9,303.7,157,318.9,123.7,368.7,259.5,178.5
,            October,246.6,200.3,219.6,752.1,745.1,391.6,326.5,0,144.9,277.4,87.8,353.4,193.2,134.3
,            November,263.9,131.2,177.8,768.5,1367.9,425.3,289.6,0,139.1,258,190,319.3,197.5,215.4
,            December,172.8,196.4,183.8,838.4,860.3,492.7,196.8,342.6,172.6,290.2,150.2,348.6,122.1,155.6

,2008   January,223.2177944406023,181.99692087279655,202.2231870292017,858.7,386.7,464.80863434828103,237.18657680596954,408.8633101355035,167.43974853182416,277.4976462484532,155.25658357816897,521.2765779851892,216.37343017527942,199.0570432245071
,            February,211.562192077267,151.89190746020182,177.04641397924425,0,1411.7,465.6440108243066,243.01100120594347,406.7331705178644,157.42651843945953,317.2461619324367,95.89269110247521,359.1729552452911,196.99515649874988,153.64994886411742
,            March,211.16473150938816,164.74336210041056,186.95611344973003,927.6,505.5,538.3231333102229,262.07589690305616,436.14913544581333,154.01873880505389,299.4927835770476,170.75031284461156,362.4337917351771,360.0168376353979,227.80618326021713
,            April,254.2084229603577,194.44597616006658,223.52153399371804,911.9,724.9,526.6374233982019,261.2948234350903,419.5478139053378,150.90399019570265,355.63401627915044,94.76886848236771,232.64105211344486,295.33874719826196,145.56478845714915
,            May,182.30128845677442,199.10229839983813,189.84090777599843,1141.4,952.4,582.6855262712836,278.8732234028168,419.2354905941356,175.40288884155603,354.44204382260807,126.15492959823938,323.0351498692173,444.8612355720659,211.9439513629469
,            June,187.7366210507605,181.53811446427747,184.56392916134078,1161,1263.5,723.7161313547771,290.9462863374335,461.2882453777277,151.3867037026619,368.69454388581033,127.67638769323766,362.900901255927,305.01811289490064,196.17099484863093
,            July,242.03942769674077,142.19594233079425,179.07179125699523,1237.4,372,790.846440423405,324.93972832732607,464.12680292808847,162.75816013631527,309.9190370993009,140.6680143593345,303.0133823593814,291.7775787467291,200.11982568335318
,            August,252.5262734051474,174.3487814040663,207.6423709649014,1179.8,766.8,1145.9969534520542,287.59148038000086,435.87015135899634,169.41945449005763,401.7004349765497,133.68798776781702,331.11346632351683,417.1859314881998,219.34801014303974
,            September,266.56084958349334,178.02969840848445,213.97097119464323,915.2,980,1005.6287865042258,333.9958831257835,442.07,151.24653218584055,348.1654299492436,134.30686992168108,393.9572251233846,273.6577372012681,202.67227234808308
,            October,203.6426563774344,202.41460882752372,203.06322807767785,646.8,652.6,1061.062552516625,326.717489403101,476.90110784800004,139.51469250771675,298.3470708886794,89.50476497264795,575.6390327504861,187.78887231575132,150.36288369300385
,            November,137.63082167700134,138.0605160309289,137.84190070415852,647.2,1083.4,1066.987867582727,239.74008011280463,384.42652958425646,139.06744673530434,278.59077801856864,199.86967617331774,348.2551668247767,192.53439397821546,217.22662513831676
,            December,189.95162816251877,205.21404979927814,197.03366066052965,441.4,470,1040.55667616811,191.43641022705114,256.29970889735523,177.03837533040908,251.25555482796466,152.82231470125714,348.41987941795674,191.2396982139723,199.3262192409925

,2009(b)January,161.77981189929366,195.7172119258853,174.40214359338165,406,432.2,480.08528198679585,212.67274826022052,321.62421857024356,156.86035667757855,223.77260980249102,126.3427444032535,424.34736216099225,258.9686745871718,185.57104479494302
,            February,171.2883633198228,166.94101826652903,169.5194556171689,444.9,473.7,446.26294229607726,205.42929530191273,303.9936899903448,157.81499964628526,226.57643616922917,105.17126436290678,330.7067532466944,261.1608777484686,154.39840899787959
,            March,196.3689657715899,109.11677133394981,151.20029716902096,456.1,485.7,389.24101394395655,198.52769422090654,251.74498509363147,154.94330411053704,239.34654403888734,120.22211043024787,328.23346842597294,264.2994754970738,185.94287887259472
,            April,190.57477516163738,131.48311441178785,155.96275454602335,546.9,639.9,343.1706254804653,218.16596131156527,263.3355049540806,144.1967016866307,236.24962504771548,93.96670486549259,366.7119278540273,275.07618160040545,145.14296966656858
,            May,187.89600456726947,174.0883241447551,181.4605521164952,620,777.9,466.6569354464223,230.3405930672314,268.004455060939,187.2527245887478,294.71532629344875,236.39649219292963,326.0265700328186,298.54738593043004,284.7035494243685
,            June,184.48104549161758,126.06131343131548,156.33270237358357,716.1,610.2,419.25104829639,271.0026780433386,266.22639948391645,144.61031886095012,291.26646793003,111.4515516246528,311.4034446579062,320.6325418373559,187.7066453412537
,            July,217.16255340634692,106.77528578033899,151.065586488149,671.4,658.1,425.33773173099536,322.61362660705066,271.4541418715638,157.2245904381083,284.2726162519531,150.6396103324476,311.6192456245309,346.1508322919813,223.56473401300428
,            August,237.16613522415065,127.58476397472785,172.0450117108132,663.6,705.8,394.6136220903518,309.23664737157765,277.83101638969936,183.72326639523072,281.38415749255597,114.45784751481196,339.5117794237362,284.68723769767956,190.65893324246682
,            September,248.43446406743374,117.26774815762965,166.25096940511824,742,720,373.6027454160387,376.8021121822618,299.04536556495844,142.97684729031562,275.1487288570749,76.68980871114826,325.17846329457416,264.1410759120755,140.88931848478163
,            October,263.8295395729103,127.32843153734186,172.03267703065447,715.1,726.9,440.8758584137156,319.18641320678415,289.86864296167,136.9617854030181,305.97465316554985,81.7679929224917,420.7907879495659,257.59138264487524,176.54856117856704
,            November,269.47223192363634,118.09507556012595,175.73884129367661,775.8,787.4,420.22421203411653,271.63947426544166,284.24540623568635,140.759138728084,250.2607161035522,81.35475548830058,815.3965878266064,285.7089960641402,172.50811010242236
,            December,276.54963690489905,112.7573806461806,177.1140867791335,759.1,821.4,398.19964137727845,209.7909089357045,294.9274053255466,147.2885100447646,289.3253257396795,92.15290302277849,711.069467506788,215.67168574032877,142.88638219929456

,2010(c)January,325.62456584331306,161.37970436039538,240.57106728316805,761.1730740534857,515.4400457189137,415.0740175400168,224.66280361668046,287.7443962517679,151.39057038281075,303.6757352580995,84.9034271932665,612.5400474775081,258.5850813659949,155.41761968872873
,            February,314.8634111137397,230.37297295575695,282.1077075059369,766.6422935984476,791.3542367868703,463.4396401275903,238.99841363519138,281.26350801063944,190.30196804924498,281.18430758451024,140.18740472481562,447.98321153649965,356.8773250493985,212.10758063759337
,            March,234.81941040926634,120.48097309377503,176.82205640008385,-,710.5127125068283,436.47242492534957,200.03454304257934,284.1075715136566,198.7761599545143,286.44079076920764,163.14896393906454,500.9093708479556,333.13154481533616,243.72092130786683
,            April,231.12836737640203,139.29269033165184,187.7110512505011,828.4342889599204,928.8269949060445,452.8364077318974,277.13258397078147,273.75396784710176,169.06756662213243,346.3702867373389,106.22073901648899,547.4552949161393,302.43349383230003,172.52968049253582
,            May,236.1673805836888,179.37218297861318,208.4540887842881,825.5677692088815,856.0756555221708,439.6999759633756,248.57931755916147,-,190.90452628291825,338.2343493720736,183.51470665856158,550.6470196708367,338.2647841368064,291.13002837060384
,            June,228.47392542379222,172.52845293747254,197.63283772629146,751.0978196697638,700.4629689832517,401.6551720586332,316.1962043950035,277.3322843031487,176.0166365437858,323.96992180125,113.0673109442186,542.3283873348446,337.5536033257717,218.66934016852287
,            July,219.0786090584902,158.95127726714006,182.16479047001096,711.3088359611166,823.2529104455671,451.4424173699582,317.2539274891044,261.6450829872111,161.66164840368268,301.287077639514,151.77736690999322,553.8609058877721,356.8468786818813,278.18869361299875
,            August,244.02810635986555,163.21313586117847,192.0209616062979,707.4821391230864,559.7092567810022,441.90887731253935,318.8026833110252,263.54132764493505,194.82507262870342,276.42098346417094,147.32296466723292,538.662327197722,313.11197034082676,230.0265588774506
,            September,270.9115227518761,167.58005467640547,204.48095104316448,726.9867888986739,837.9271458904722,479.9426272498765,306.97985687082985,245.65808740957578,192.69467987493195,345.0640553627043,102.71357689923666,408.7602726047932,290.16017687902695,166.094667969051
,            October,279.92473586319534,177.2383594062077,204.92643964334007,774.6879006680009,842.8917646635501,457.4771477401936,319.8744022794958,252.92272874191792,191.987841744462,325.13360538313833,94.91103272264182,490.0661425990986,279.1796727841106,174.37024770477507
,            November,290.44011911484057,175.89384850645285,211.6465667099003,810.0641292343072,923.1178507721733,375.7411472077579,318.49640462667503,263.2838528923355,182.25485380026768,276.22247393984634,109.5128060944399,519.192797534158,310.972184430718,173.9591194660389
,            December,307.22399873658344,174.84466713751604,222.5529504506931,859.1409537832798,848.5107511002797,406.6905844356667,298.6953756457662,260.2579801165234,186.24446413165558,280.86889324249864,91.58094751747838,782.1421869904541,277.7916977095098,156.53796576956822

,,,,,,,,,,,,,  Source : Central Bank of Sri Lanka,,


,"(a) A  series with a wide coverage and 1997 as the base year.In order to accommodate the variability arising from a monthly frequency, in computing the monthly trade indices, ",,,,,,,,,,,,,,
,      first the volume index is computed as a Laspeyres index and then the unit value index is derived as the ratio between the value index and the volume index. This methodology   ,,,,,,,,,,,,,,
,      avoids the subjective imputation of prices that would be required in deriving  a price index first when certain items are not exported  or imported in a particular month.,,,,,,,,,,,,,,
,(b) Revised,,,,,,,,,,,,,,
,(c) Provisional.,,,,,,,,,,,,,,

,Table 2.6.6 : Trade Indices (Imports) - Volume (a),,,,,,,,,,,,,,

,,,,,,,,,,,,,,Base Period 1997=100,
,Period,Imports ,,,,,,,,,,,,,
,,Consumer Goods,,,Intermediate Goods,,,,,,,Investment Goods,,,
,,Food & ,Other Cons.,Total ,Crude Oil,Refined Petro. ,Fertiliser,Chemicals,Wheat,Textiles ,Total ,Machinery & ,Transport ,Building ,Total 
,, Beverages,Goods,,,Products,,,,,,Equipment ,Equipment , Materials,

,2006    January,81.9,206.4,132.7,60.2,235.1,164.8,115.8,128.5,106.4,122.5,208.7,63,169.2,172
,            February,87.6,220.7,141.8,166.6,82.3,187.3,132,106.7,111.6,137.2,263.6,93.7,231.7,225.5
,            March,124,309.7,199.7,165,251.6,156.7,161.3,201,119.1,156.3,219.5,100.1,271.5,209.7
,            April,112.6,235.4,162.7,122.7,169.8,262.1,111.4,92.8,120.6,137.4,245.3,99.2,133.4,187.2
,            May,135.3,249.1,181.7,104.4,134.7,140.8,161.3,291.3,145.5,151.3,228.2,103.7,169.8,191.3
,            June,119.4,271,181.2,126.4,165.8,220.4,156.9,104.6,149.3,161,282.9,108.2,157.8,214.5
,            July,100.9,311,186.5,97.3,270.1,148.9,167,201.8,120.3,150.1,242.8,118.3,126.3,186.9
,            August,108.7,293,183.8,166.6,81.2,212.3,197.3,104.7,143.2,163,199.8,156.5,151,183.2
,            September,102.4,318.6,190.6,121.8,44,4.1,123.9,196.9,122,123.9,159.8,70.8,133.2,134.6
,            October,113.5,245.4,167.3,159.1,133.6,107.9,118.4,0,170.3,153.4,345.4,105.4,246.1,273.3
,            November,111.1,367.4,215.6,58.7,110.2,236.4,114.6,296.7,146.4,151.6,212.7,129.3,197.5,192.7
,            December,107.1,256.7,168.1,74.8,120.4,103.1,169.9,100.4,147.6,152.3,223,104.5,380.6,224.9

,2007    January,103.9,194.9,141,0,202.4,22,164.3,100.7,124,129.5,216.4,103.2,228.9,198.5
,            February,103.7,284.4,177.4,89.8,208.6,119.5,139.4,99.4,102.4,121.9,228.8,86,236.7,208.4
,            March,142.5,287.6,201.6,90.2,228.9,47.7,172.4,109.5,126.8,136.3,228.2,114.1,259.2,218
,            April,104.6,218.1,150.9,186.5,295.9,179.3,182.2,202.8,143.1,161.1,278.6,101.9,176.6,219.7
,            May,132.4,223.6,169.6,90.5,184.1,219,163.2,186.3,161.5,157.9,265.6,113.1,204.1,221.2
,            June,121.5,204.3,155.3,91,86.2,127.3,134.1,200.8,138.2,141.4,234.2,132,175.7,194.8
,            July,116.6,300.3,191.5,92.2,328.2,120.1,150.7,0,139.6,146,245.7,104.8,214.5,206.8
,            August,89.8,200.8,135.1,94.4,205.3,140.4,157.3,219.1,119.5,151.4,242.1,85.1,213.4,200.8
,            September,86.6,221.6,141.6,182.8,127.7,144.1,130.4,197.3,137.7,142.2,282.4,94.1,214,228.9
,            October,103.6,211.6,147.6,92.2,177.1,411.8,124.1,0,180.2,165.5,456.8,90.4,339.9,348.1
,            November,114.5,307.3,193.1,89,79.6,62.9,135.9,0,160.5,150.4,189.8,96.6,372.3,219.9
,            December,181.9,230.7,201.8,184,124.5,155.1,199.3,131.8,131.5,166,281.2,106.2,483.1,291.8

,2008   January,142.15242891252782,214.35240130716855,171.58912014061943,62.5,489.5,80.50300238875806,177.6030571002494,118.73053773825231,140.05730394468375,169.1929915340125,296.57239335836994,87.45005061201388,272.79365079024444,255.65131190753044
,            February,147.65833564470256,294.3349698666753,207.45994842604537,0,94.4,160.48678913794433,161.28139820112884,121.95019942283345,119.56553797011489,114.39650496375408,288.9024664442626,134.3425908214769,318.70681723798344,268.1647634246976
,            March,199.51059029550262,315.8752693632042,246.95369884475417,89.1,258,143.89339464488313,221.124899148325,173.33095065187882,128.48915749769156,151.67582397533633,199.22239392784857,76.8230967279387,186.13780379661117,177.63091658630557
,            April,143.25858989170018,219.64812811900916,174.40341135455031,169.8,242.8,411.6037219558365,174.2320445243415,119.93505925652734,146.84875408952374,165.10030154443433,327.03547077560086,144.62121342867053,183.46695015368718,259.15560449891757
,            May,174.1296411244369,205.9339499496185,187.09659370846907,89,157.2,155.06082287347866,180.0127244240974,239.86403507104322,147.37060673993759,155.73702501426018,241.91635112824207,63.94063596458738,151.20025477011308,185.34715410773964
,            June,160.80651499482605,244.9465001622173,195.11127552535157,90.2,156.8,119.48233617001132,142.2403705903863,114.0421354402321,119.32603282598261,141.22196690022503,261.603756127675,92.92392796948913,200.82287011804462,210.18086638367214
,            July,132.05065222296057,327.56534091414557,211.76405557581379,90.2,279.1,214.62369568736545,183.14166482763827,138.69350934758887,163.1988762025464,172.05187112809566,269.1648629050755,109.0034934431546,237.6770352092729,224.13205154913658
,            August,117.8597652530459,230.8222065580952,163.91574553642593,178.2,170.7,219.08097147161217,185.5804779196053,88.97061317293324,103.49917402688025,145.56989030248442,210.1403124333662,82.92884068138578,151.7470085928804,170.01960702558642
,            September,115.01759349729981,244.4865761986684,167.80346502871626,90.9,153.5,229.61282138401597,159.81232906636797,4.49487279902969,162.79240799203265,149.92444628067855,251.91427063709605,68.72649043279881,257.29860670636447,221.2710171107362
,            October,160.0407483226062,207.69329219180707,179.4691937026612,91.2,189.8,341.1937493124329,173.18674365473814,147.39205274344224,192.25468547790737,178.95065201989215,336.0420992710082,78.77843358600185,390.7229708255849,286.49276933444514
,            November,201.9320616341958,283.2381734059226,235.08142205360065,91.6,60.2,227.56460478207998,128.46875047180498,95.72600177180249,166.82672576142932,152.92978654086178,130.28247713488668,82.0460340009301,313.95553663710433,159.60589045175936
,            December,180.0949235967093,226.49960630334272,199.0146028024887,184.8,175.1,70.25491764864881,288.4974924937511,34.22054758582406,133.23901370637208,153.83957305169955,234.651575979925,272.90929155288353,290.8,256.2019387041797

,2009(b)January,174.1405634768279,149.80794026825345,164.21989602497345,92.7,72.7,147.04672045657125,147.04616627010648,103.75614522696941,119.52760780035388,112.99939659284516,196.95098847413126,69.98673045724681,162.38239619554605,172.36536457361348
,            February,148.32002989672975,147.8190551507059,148.11577720212802,92.6,86.3,5.195603495999745,124.09689676780096,145.5910892783137,98.66176648344641,99.69500990203856,236.46703398696016,68.71996850441917,162.2329818854478,189.55025499048418
,            March,211.8143442293689,330.2650113673219,260.107932144372,185,159.1,78.4029441021941,302.4519308365632,188.90608306179638,136.10317126451434,150.90897355394966,309.1624069180721,232.98897067298645,367.5832320597594,304.58679889714136
,            April,104.12504906641092,213.87458106870562,148.87109229646225,92.1,90.6,85.2105769786611,141.4446064803381,104.48311654734248,123.3430081289325,116.29539050947479,203.93571878024326,46.85598379404485,125.80941981073474,162.3178352072786
,            May,144.97862561661398,183.8511437225943,160.82736176971923,92.1,95.8,95.72469060770835,173.66806417077814,101.46431490937573,106.24012655488924,111.83443531035643,140.22431663917672,46.860518977509145,117.7741476590638,115.09043590479126
,            June,158.39791690133112,213.96955437921451,181.05506037687795,92.1,221.2,154.68567882090142,136.3531286408583,142.4005900938751,121.36816197159095,131.64723713001732,208.80784486204018,57.798279824519355,134.8667731715835,164.7115281393299
,            July,151.62315595611742,328.71571133615436,223.82566100725245,92.4,165.1,56.49466784099862,159.68571859399444,111.34980171781194,151.38840154596713,138.68630264265082,218.11750158430257,67.49740955300246,190.42725333318776,179.82924277992362
,            August,117.5013881072639,250.0201617419914,171.53069161016103,92.6,178.9,125.00569991498409,161.70469845236,110.30325197997027,109.63359032388642,137.25010401541854,166.79179185488434,80.95088693750391,168.06431438175932,147.9374731226571
,            September,115.14282270727567,280.64425924672946,182.61950619668823,91.8,74.7,195.23739111253727,143.0011709955923,112.49044709496634,147.0015654765089,124.52869680219186,273.9795845128555,97.80730365870356,185.1019719988545,222.01924579485112
,            October,93.5608408948286,279.0970289267091,169.20590414885572,177.7,149.5,318.8139945276873,136.9593825491116,187.4148032957047,158.36410454698515,153.30240976955784,288.6601632737954,243.75140044031338,215.06686095246084,249.00362734880127
,            November,122.81400519739893,290.1161500318658,191.0248564754421,89.3,76.8,249.74564130183654,158.82663444268815,145.36113060769785,166.23868422098005,150.4805011203607,335.91577038642225,108.6609718911764,173.49356537352222,252.91151992441604
,            December,146.37765359896525,328.5524288228454,220.65223335227287,178.8,169.3,117.46408660563978,333.79166011337736,106.91649335193854,151.87188498787174,168.0918541784789,347.7584818035295,53.854886829010866,240.16518099577374,274.9870240225845

,2010(c)January,151.95068509099764,237.0822584486401,186.6597265985615,178.95828268947417,413.60796934043185,81.9055113611077,238.2544828943741,142.3549414658814,134.56863275680482,171.8856841675362,308.41912986820506,96.32116742176046,200.87033658662693,247.19521959815677
,            February,173.3824448412264,159.4747237198048,167.7121200646468,41.31215965259553,107.34137635586482,81.76340603452336,203.65921731637056,213.18115958009045,113.0390698282228,122.60697230503392,263.48834872728645,98.3325623430513,176.9275233349235,216.78518436087134
,            March,222.61687578506675,332.90713170621393,267.58337786726145,0,203.40176740312972,106.3240416255383,302.6007933706021,180.42970392648158,99.1114339242638,133.72072871864052,160.59584039861514,97.8328022987298,157.86397271394287,151.47972695828742
,            April,182.73402389083475,238.04240872946949,205.28383648522578,89.6471549313476,210.96948455939832,220.76200430335038,176.71141311454804,111.10387553277646,108.58693591973366,131.2084379418825,225.84616167148351,72.81131012522361,131.62002882299078,180.88475475594362
,            May,166.92036736777663,231.076941783813,193.07768029601715,89.91042031509163,194.68453829142433,278.5332728602434,225.5075617096981,0,109.14391682973219,134.82944121938215,133.2517460802808,78.62105437961873,193.42240372575523,131.37219952095634
,            June,152.7359525877078,272.5859137875406,201.60004746927473,178.2849054014053,158.78446244719999,231.36472561441474,174.57856003815024,148.4573364409583,131.73753366896028,152.1450750366158,214.71707269690373,117.11124116481548,174.95124581871045,181.12216717922095
,            July,160.63767407885334,371.0885344616179,246.4407123669053,89.23638155620931,116.21717456911249,153.55814898343013,158.36071972369137,214.49478915170204,165.527847580972,157.14196612464232,201.9231407521217,220.99148509312533,148.06108942526336,185.43809829740857
,            August,149.2719526237203,391.4828775515449,248.023904635548,89.40770249688696,176.13580648921246,173.19989160272624,168.5219759751711,142.80880121973013,128.89193026775132,154.8999439961759,235.86764951671697,98.84784077876763,202.74277908842046,197.7292022004012
,            September,136.89336459258814,358.010282445246,227.04506715222973,179.0244297708169,107.2978086415695,113.23797238315055,158.7164312235688,87.22904539388385,108.81334862224539,127.15454866800155,317.614720674796,107.65279985561735,199.72988987557576,251.0508286247082
,            October,117.70923191590931,463.1813952052419,258.5618813194677,89.69610377154122,156.76778318066084,108.82851052197277,189.51227259363185,113.83897128995586,166.00738139953438,154.7050303664652,328.79817869107836,126.46465925676561,220.1266538084332,257.2008146825094
,            November,115.37830432894728,369.39226351012553,218.9424780542607,89.44011456674488,117.13960735353974,131.40873170010335,174.16179215103338,97.7021597063576,143.82124135830975,158.0005795928846,343.606871931266,99.75171553788972,180.13732047847031,260.58343457776925
,            December,157.6332020203798,406.41607076742537,259.0646049316809,88.8421449514067,227.00631675947486,245.23327643100305,224.85499245827336,139.9815732541472,171.4104184106034,204.36744987205137,476.86949165551584,98.39197190734946,220.29419517628472,352.3722917381904

,,,,,,,,,,,,,  Source : Central Bank of Sri Lanka,,
,"(a) A  series with a wide coverage and 1997 as the base year.In order to accommodate the variability arising from a monthly frequency, in computing the monthly trade indices, ",,,,,,,,,,,,,,
,      first the volume index is computed as a Laspeyres index and then the unit value index is derived as the ratio between the value index and the volume index. This methodology   ,,,,,,,,,,,,,,
,      avoids the subjective imputation of prices that would be required in deriving  a price index first when certain items are not exported  or imported in a particular month.,,,,,,,,,,,,,,
,(b) Revised,,,,,,,,,,,,,,
,(c) Provisional,,,,,,,,,,,,,,

<new sheet>
sheet_name: Base period 2010-100
,Table 2.6.1 : Trade Indices (Exports) - Value (a),,,,,,,,,,,,,,,
,Table 2.6.2 : Trade Indices (Exports) - Unit Value (a) ,,,,,,,,,,,,,,,
,Table 2.6.3 : Trade Indices (Exports) - Volume (a),,,,,,,,,,,,,,,
,Table 2.6.4 : Trade Indices (Imports) - Value (a) ,,,,,,,,,,,,,,,
,Table 2.6.5 : Trade Indices (Imports) - Unit Value (a),,,,,,,,,,,,,,,
,Table 2.6.6 : Trade Indices (Imports) - Volume (a),,,,,,,,,,,,,,,


,Table 2.6.1 : Trade Indices (Exports) - Value (a),,,,,,,,,,,,,,,
Rs.,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,2010 =100,,,,
,,Exports,,,,,,,,,,,,,,
,,Industrial ,,,,Agricultural ,,,,,Mineral,Total,,,,
,Period,  Textiles and ,Petroleum,Rubber ,Total,Tea,Rubber,Coconut ,Minor Agri. ,Total ,Exports,Exports,,,,
,, Garments,Products,Products,,,, Products, Products,,,,,,,
,2011    January,126.579370414322,97.3166835110582,137.04427825322347,136.96812571956588,105.06629047716696,149.485664574505,93.78096966415913,126.66035292931616,107.57999230943442,124.960602439941,125.99770270973683,,,,
,             February,118.27205169078728,187.77039505197249,135.333368686776,117.99635899916241,97.23839862470321,178.81384293812084,90.76484251811787,123.58025566553783,103.62624279710028,149.2493748170265,111.59103548657168,,,,
,             March,126.3884940804236,382.1815107297286,156.6683777988668,134.64665194285996,107.13199650446097,156.19987861347394,152.66280057929757,116.60704302383446,114.82452693574258,195.08280872036283,126.44366857340887,,,,
,             April,105.47812485990032,234.17549522750645,115.42391190132173,109.36759773181238,79.45731343995297,143.53983090662254,110.37421740547407,103.13681303263846,89.55040513911588,106.72455934267813,101.63668323190518,,,,
,             May,111.81156583063522,236.8512840326864,163.4572680811685,121.741886045886,95.11459325904421,82.56761932238926,146.08466105594528,115.48758856464482,99.52118791724804,104.49627002596738,113.0278427817194,,,,
,             June,114.92183940435605,174.40250484154407,157.31930107842368,117.5964548189675,94.76692237471386,72.83974745585459,167.8068764693327,118.77685376340311,101.8044584355509,104.65011929211937,110.67776276057795,,,,
,             July,132.82749518385234,175.55316158084077,168.55822467060935,141.4548885935638,104.21796524877114,90.11564762649431,192.0602442885001,102.08367845733203,109.91082067029714,124.86715133145381,129.68772513941335,,,,
,             August,129.75366254131717,146.3734986832458,172.7553291210761,134.74271796549144,115.03669981076173,149.35129334066102,207.6879256426392,140.34640390215225,123.93355060654778,212.28388890780752,128.9618622251994,,,,
